UID,movie,how_long_ago
210,"American President, The (1995)",1
210,Contact (1997),1
210,Pulp Fiction (1994),1
210,Dumb & Dumber (1994),1
210,"Godfather, The (1972)",1
210,"Day After Tomorrow, The (2004)",1
210,Alien (1979),1
212,Chinatown (1974),-1
211,Twister (1996),gt10
211,"Day After Tomorrow, The (2004)",gt10
211,"Blair Witch Project, The (1999)",gt10
211,Toy Story (1995),gt10
211,Charlie's Angels (2000),gt10
211,Willy Wonka & the Chocolate Factory (1971),gt10
211,Groundhog Day (1993),gt10
211,Forrest Gump (1994),gt10
211,National Treasure (2004),gt10
211,American Beauty (1999),gt10
213,Men in Black (a.k.a. MIB) (1997),1to5
213,"Mask, The (1994)",6to10
213,Twister (1996),6to10
213,You've Got Mail (1998),6to10
213,Back to the Future (1985),6to10
213,Mrs. Doubtfire (1993),6to10
213,Beauty and the Beast (1991),1to5
213,Apollo 13 (1995),1to5
213,Lethal Weapon 3 (1992),1to5
213,"Rock, The (1996)",1to5
214,Beauty and the Beast (1991),gt10
214,"Usual Suspects, The (1995)",gt10
214,Beetlejuice (1988),gt10
214,Bend It Like Beckham (2002),gt10
214,Die Hard (1988),1to5
214,This Is Spinal Tap (1984),gt10
214,Reservoir Dogs (1992),gt10
214,Jurassic Park (1993),gt10
214,"Shawshank Redemption, The (1994)",gt10
214,"Princess Bride, The (1987)",gt10
215,Independence Day (a.k.a. ID4) (1996),1to5
215,Seven (a.k.a. Se7en) (1995),6to10
215,Blade Runner (1982),6to10
215,Back to the Future Part III (1990),6to10
215,Austin Powers: International Man of Mystery (1997),1to5
215,Fargo (1996),gt10
215,Stargate (1994),6to10
215,Star Wars: Episode VI - Return of the Jedi (1983),1
215,Dogma (1999),1to5
215,Total Recall (1990),1to5
216,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
216,"Lord of the Rings: The Two Towers, The (2002)",gt10
216,Pretty Woman (1990),gt10
216,Six Days Seven Nights (1998),gt10
216,"Godfather: Part II, The (1974)",gt10
216,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",gt10
216,Slumdog Millionaire (2008),gt10
216,"Matrix, The (1999)",gt10
216,Apollo 13 (1995),gt10
216,Lethal Weapon 3 (1992),gt10
217,Die Hard (1988),6to10
217,Forrest Gump (1994),6to10
217,Willy Wonka & the Chocolate Factory (1971),1to5
217,Toy Story (1995),1to5
217,Back to the Future (1985),6to10
217,Titanic (1997),gt10
217,Monty Python and the Holy Grail (1975),6to10
217,Pretty Woman (1990),gt10
217,American History X (1998),gt10
217,Lethal Weapon 3 (1992),6to10
218,True Lies (1994),gt10
218,Independence Day (a.k.a. ID4) (1996),gt10
218,Pretty Woman (1990),1
218,Seven (a.k.a. Se7en) (1995),1to5
218,Forrest Gump (1994),1
218,"Mask, The (1994)",1to5
218,"Fugitive, The (1993)",1
218,Titanic (1997),1
218,Toy Story (1995),1
218,While You Were Sleeping (1995),1
219,Terminator 2: Judgment Day (1991),6to10
219,Star Wars: Episode IV - A New Hope (1977),1to5
219,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",gt10
219,Kill Bill: Vol. 2 (2004),1to5
219,Ace Ventura: When Nature Calls (1995),1
219,Stargate (1994),1to5
219,"Day After Tomorrow, The (2004)",1
219,Pirates of the Caribbean: Dead Man's Chest (2006),1
219,Titanic (1997),1to5
219,Aliens (1986),6to10
222,Pi (1998),6to10
222,Star Wars: Episode IV - A New Hope (1977),1to5
222,Fight Club (1999),6to10
222,Beauty and the Beast (1991),6to10
222,Star Wars: Episode V - The Empire Strikes Back (1980),1to5
222,Back to the Future (1985),1
222,Titanic (1997),1to5
222,"Mask, The (1994)",1to5
222,Toy Story (1995),1to5
222,Back to the Future Part III (1990),1to5
227,"Matrix Reloaded, The (2003)",gt10
227,Batman (1989),gt10
227,Titanic (1997),gt10
227,Die Hard (1988),gt10
227,Terminator 2: Judgment Day (1991),6to10
227,"Lord of the Rings: The Two Towers, The (2002)",6to10
227,Pirates of the Caribbean: Dead Man's Chest (2006),6to10
227,Toy Story (1995),6to10
227,"Lion King, The (1994)",1to5
227,Men in Black (a.k.a. MIB) (1997),gt10
228,Get Shorty (1995),6to10
228,"South Park: Bigger, Longer and Uncut (1999)",6to10
228,"American President, The (1995)",1to5
228,Forrest Gump (1994),1to5
228,Pi (1998),6to10
228,Titanic (1997),6to10
228,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
228,Star Wars: Episode V - The Empire Strikes Back (1980),1to5
228,Jurassic Park (1993),6to10
228,Dark City (1998),6to10
231,"Lion King, The (1994)",gt10
231,Twister (1996),gt10
231,Toy Story (1995),gt10
231,Mission: Impossible II (2000),gt10
231,Batman Forever (1995),gt10
231,Titanic (1997),gt10
